trial_id,timestamp,command_text,target_object,object_shape,object_weight_g,action_type,x,y,z,key_frame,offset_direction,offset_size,contact_status,outcome,failure_reason,notes,valid_trial
T20260602_082726,2026-06-02T08:27:26Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,"Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 150.0}, right_xl320_position_max_raw=1023, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",false
T20260602_082833,2026-06-02T08:28:33Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,"Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 150.0}, right_xl320_position_max_raw=1023, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",false
T20260602_083224,2026-06-02T08:32:24Z,point red object,red object,not available,not available,point,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,Change: No robot-side tuning change was recorded for action_type=point.,false
T20260602_083952,2026-06-02T08:39:52Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,"Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 150.0}, right_xl320_position_max_raw=1023, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",false
T20260602_084103,2026-06-02T08:41:03Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,"Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 150.0}, right_xl320_position_max_raw=1023, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",false
T20260602_084227,2026-06-02T08:42:27Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,"Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 150.0}, right_xl320_position_max_raw=1023, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",false
T20260602_084408,2026-06-02T08:44:08Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,"Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 150.0}, right_xl320_position_max_raw=1023, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",false
T20260602_084514,2026-06-02T08:45:14Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,"Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 150.0}, right_xl320_position_max_raw=1023, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",false
T20260612_074430,2026-06-12T07:44:30Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,"Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 70.0}, right_xl320_position_max_raw=1500, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",false
T20260612_075514,2026-06-12T07:55:14Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,"Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 70.0}, right_xl320_position_max_raw=1500, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",false
T20260612_100828,2026-06-12T10:08:28Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,unknown,unknown,unknown,unknown,unknown,unknown,"Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 70.0}, right_xl320_position_max_raw=1500, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",false
T20260612_101148,2026-06-12T10:11:48Z,attempt grasp on dice,dice,cube,not available,grasp_attempt,0.2,-0.08,0.14,306,centered,none,grasped,success,none,"nico successfully grabed the object | Change: Grasp tuning used right_grasp_x_bias=-0.055 m, right_grasp_y_bias=+0.027 m, grasp_contact_z_offset=+0.005 m, grasp_hover_z_offset=+0.060 m, captured_seed=True (natural_red_grasp_current), seed_guard=True (+/-0.45 rad), contact_seed_guard_shoulder_y=+/-0.85 rad, contact_seed_guard_elbow_y=+/-0.75 rad, final_contact_nudge_shoulder_y=-0.300 rad, final_contact_nudge_elbow_y=+0.000 rad, right_hand_close_deg=90.0, right_hand_close_deg_by_id={'34': 150.0, '35': 150.0, '36': 150.0, '37': 70.0}, right_xl320_position_max_raw=1500, right_xl320_command_repeats=4, right_xl320_command_interval_sec=0.04, captured_stage=False.",true
